tweet_id,text,labels
'350030750369853442',"Is miserable, need some sort of therapy..just can't decide if it should be in the form of retail, chocolate or wine! *sigh* #seriously","[1, 0]"
'349703356882763777',Airdrie air show will benefit victims of Alberta floods - ... http://t.co/rWOQyn8vmW,"[0, 1]"
'348847209028141061',RT @Metro_Nolais: At least middle of the week before recommend people go back to work downtown #yycflood,"[0, 1]"
'348215150429478912',RT @Starbucks: RT @starbuckscanada: Make a difference. Visit participating Canada stores to donate to the Red Cross #abflood http://t.co/ib…,"[0, 1]"
'349663860707438592',Theres a chrysalis on the side of the telus building and I want to light it on fire what's a chrysalis? A cuccoon ..... @WhiskeyPrince,"[1, 0]"
'351471076955525122',Thanks fans! RT @CHATTVBMalsbury: The @mhmavericks beat the @mjmillers 5-2 today! The @mhmavericks are now 20-3 on the season. #medhat,"[1, 0]"
'349243626070609920',RT @JShoota1: My brother snapped this pic of @TheoFleury14 buying supplies for the needy at Okotoks Costco. #abflood #yycflood http://t.co/…,"[1, 0]"
'347882212529680384',"On the plus side, it's 29 degrees and not a cloud in the sky! #Roadtriptweets","[1, 0]"
'351629874080919553',@SteveWinwood have you ever made love while listening to DMX or Kevin Costner's band?,"[1, 0]"
'350369960503152640',"#Tiverton's Bruce Power and its employees raised $40,000 today for #Calgary flood relief: http://t.co/y5VmWtnXMp. #YycFlood","[0, 1]"
'349762194591858690',"@Allisonmarie567 You know what you do!  I've tried many times to get the last tweet with you! But then, up to 12 hours later, you post a :)","[1, 0]"
'348179959140982784',RT @CBCAlerts: RCMP investigate reports of 4 missing in Alberta flooding  . #rcmp #abflood #yycflood #calgary #yyc,"[0, 1]"
'350871164169633792',"Behind Luke, Dack #adjusted his targeting system to aim for the walkers forward laser cannons. Dack warned, Luke, I hav","[1, 0]"
'348567705013583872',It wasn't long ago that Chetwynd was being swept away by flood waters. We know that pain. Want to help Alberta? Visit http://t.co/tG4oHiSb8F,"[0, 1]"
'350449598885658624',"NOW HIRING Business Development Representative - #Staffing and #Recruitment Airdrie, AB #job #hiring http://t.co/v4U9NzIOp7","[1, 0]"
'348583918678708224',RT @ThatKevinSmith: CALGARY! My heart goes out to you Red Milers who are flooded out of house & home! To help ALBERTA FLOODS victims: http:…,"[0, 1]"
'348245536589103104',Wow. “@AndrwLvngstn: This is shocking stuff: The photo on the main page of the Calgary Herald website #yycflood http://t.co/Vg75zQXI5V”,"[0, 1]"
'349992290409922564',ne for the files. Take us to her.,"[1, 0]"
'350136941049683968',@ohteenquotes: Life is too short to spend it with people who don't make you happy.,"[1, 0]"
'348136343592898560',"Happy birthday my love you are so talented, beautiful and spectacular. Happy birthday and many more my sweet @LanaDelRey","[1, 0]"
'350139972273192960',"Plenty of Edmonton and area prospects up for grabs at NHL entry draft: There were 210 North American skaters, as... http://t.co/aiqYFlL14a","[1, 0]"
'348291539623088129',RT @Mookalicious: Wanna see an eerie pic?!  Power is completely out in Downtown Calgary! #abflood http://t.co/nqSxFKgM2o,"[0, 1]"
'348213890968059904',RT @PrairieWarbler: This is a disgrace. Photo from a friend in #yyc #abflood http://t.co/4jRLlZDfNR,"[0, 1]"
'349351690715148289',"Flood warning came too late, says Burnco owner: Extensive damage to a Burnco Rock Products Ltd. centre and its... http://t.co/k87mhOmF9J","[0, 1]"
'348256475870801920',“@redcrosscanada: Thx everyone for your support! to support our response to flooding in Alberta: http://t.co/u1QxirK4K0\\@WBrettWilson,"[0, 1]"
'351834047602888705',You really should get that bump seen to. He reached out to smooth her hair. She flinched. Do you feel all right?,"[1, 0]"
'349496644036861952',"Me and all my friends, We're all misunderstood","[1, 0]"
'350615261465948160',"Internal Auditor and Accountant in Calgary, AB #job #hiring http://t.co/Q8Yc11e2Le","[1, 0]"
'348498786089316352',"@happycampergirl What's the State of The Calgary, Mme President? Flood waters receding yet?","[0, 1]"
'348225671920750594',RT @mase1pryde: This shit is terrible. Store in calgs takin advantage #yyc #yycflood http://t.co/ca1sueLAoV,"[0, 1]"
'350506411849027585',"Tonight we had a conversation on how people fuck each other over, sometimes intentionally, it just happens. It got so deep. #stonerstalk","[1, 0]"
'351032522127323137',"Come by gallery, main lvl to get your @floodshirts then go to @tastecalgary for a Floody McNenshi http://t.co/gxwmK2bn0W #yycflood","[0, 1]"
'349793930973429760',", #Ken does have a pet-a mooka named Zeebo.","[1, 0]"
'349016381360062465',June #yyctransit low-income and senior passes now valid until July 14 due to #yycflood: http://t.co/Zu9fhIzl2F,"[0, 1]"
'350834085708566530',@iAMtheKM I'm always ready for a sing-along.,"[1, 0]"
'349985263210070018',@Fan960Steinberg eww boomers big underpants. Now I need to throw acid in my eyes so that visual never comes up again. #yuck,"[1, 0]"
'348148855369506816',"Lunch. Delicious, juicy, sweet watermelon. Hmmm.","[1, 0]"
'348521778588561408',RT @presbyterchris: Prayers for those in Calgary displaced by the flooding.,"[0, 1]"
'348678221438525440',RT @karrien80: “@Accio89: Elbow Park swing bridge on Sifton Blvd #yycflood http://t.co/GDhN0FTt8X so sad,"[0, 1]"
'351717687262576640',"afternoon sun. And it was the smoke column that #showed the real danger of the maelstrom. As that column rose, it drew i","[1, 0]"
'350082350522171392',We were out and about today at #yycflood affected communities. Devastating to see the impact. Inspiring to see the volunteerism. #yychelps,"[0, 1]"
'350664448895221760',@Roth14N it's one of those twitter porn viruses,"[1, 0]"
'348567090237685761',"RT @ABPremierComms: .@Premier_Redford: Once #abflood is over, we will be there to help rebuild #medhat","[0, 1]"
'348993110203834368',Watched Snow White and the Huntsman. Not the fairy tale I remember. It was BETTER :),"[1, 0]"
'348301354688720896',RT @StarbucksCanada: Make a difference in #Alberta. Visit your participating store to make a donation to the Red Cross #abflood http://t.co…,"[0, 1]"
'351301063942479873',"I just got a message that a ship's coming down to the landing clearing, on final approach, Raynar said. It's the Mill","[1, 0]"
'351804368292552706',Looks like your so Tuurnt up by yourself there.,"[1, 0]"
'350588739283718144',If you get a second chance in life. Take advantage of it.,"[1, 0]"
'348454296943202304',"RT @washingtonpost: AP: 75,000 people evacuate downtown Calgary; 3 dead in flooding http://t.co/H9nkXj5m12","[0, 1]"
'348222032825180161',RCMP confirm the first flood-related fatalities. Bodies of two people pulled from the Highwood River near High River today. #abflood #yeg,"[0, 1]"
'350481409351233536',@GatzTdaMax @zwee Yes that's why I typed it.,"[1, 0]"
'350758779710746625',scrupulous individuals have been landing on our blessed original homeworld. The council has appreciated the #notification,"[1, 0]"
'348309201833037824',@ElectDanielle we have space!!! Have a son that would willingly share his bed.,"[1, 0]"
'349384116308946944',The shortest Trends on Sunday 23 in Edmonton had only 3 characters long: http://t.co/LHyTpZtbzW,"[1, 0]"
'351586088550285312',"Not taking shit anymore, treat me how you want to be treated, no respect gets no respect","[1, 0]"
'351144730060533761',@CoeKirsten and you rode amazing!!!,"[1, 0]"
'349756449280364544',Why do you have to be such a confusing person?? #ahhh :/,"[1, 0]"
'350376346788171776',"RT @660News: Nenshi: Why don't we have regulatory authority over CP rail bridge, but it is my guys down there risking their lives. #yycflood","[1, 0]"
'351377043084148737',RT @redcrosscanada: Shout-out to @nenshi for stopping by yesterday to say thanks to our volunteers helping in #YYCflood http://t.co/vGxrpkz…,"[0, 1]"
'351098480170762240',@YourAlberta please do! Sooner the better! People need to feel supported and have spirits lifted.,"[0, 1]"
'349619742362959873',RT @calgaryherald: Blog: Calgary's beer community brewing flood relief benefit: http://t.co/e0AlBxOHAB #yyc #yycflood,"[0, 1]"
'349020768589451265',Crew of 10 with tools & strong backs ready in AM. Any recommendations? Know of seniors needing assistance?  #yyc #yycflood #wearecalgary,"[0, 1]"
'348500641691353088',RT @snewsyoulose: Are Calgary flood jokes allowed yet?\\http://t.co/6yVDZXbscX http://t.co/oDsQrv4Z7B,"[0, 1]"
'351072962830544896',noree cried out in pain. Dal grinned.,"[1, 0]"
'348992243161497600',Hahahahaha RT @bardown_rocket: @hockeymemes: We all know a Habs fan like this - http://t.co/2ppAl4NBbn @CKenna17 sound like you or...?,"[1, 0]"
