tweet_id,text,labels
295541465013182465,i just though time i went in with  at your terminal gpe and i cried,"[1, 0]"
295485717465935873,looks like its going to be another long night courtesy  money money and  money org  money australianopen,"[1, 0]"
297292225811972097,@ and . i just told him id have to think about it  : p he was like what i would do to you if you were in my arms  +  more and,"[1, 0]"
297199686392094720,off to meeting. with so called. land of mineral processing !,"[1, 0]"
295527618449666049,doubt i will be getting much sleep time,"[1, 0]"
296193774575554560,@ .  # . oh my god only been watching the show for date and already i want dancer boy and the cardinal man to leave !,"[1, 0]"
296469729781104640,@ petersmileyface you can ask my balls or look at your terminal them they will tell you,"[1, 0]"
296002033398448131,@ source :  your mind spends cardinal percentage  of its time creating memories and creating scenarios of perfect moments.  # .,"[1, 0]"
297317729545908225,sorry i actually do have a life. i cannot make a living out of having over money heads that will not notice me. call me a fake fan  *,"[1, 0]"
297353013167808512,"@ davidmorton359 but you have to handle the whole thing ,  and provide competition on the high street. then it will work. not until.","[1, 0]"
296544765065953280,@ and that must have been an interesting org search,"[1, 0]"
296212719139442688,@ teacuptempest that phrase much easier than the loose in the top and nice.,"[1, 0]"
295478715842969600,@ org you need to post more whiskey money.,"[1, 0]"
297306394095403009,@ and what they have done as an organization is great given their resources  and time ;  location.,"[1, 0]"
296474689113579520,"@ but this was just in the space of time !   my partner and my ever-faithful dog ,  thank you misery you have a friend. :  )","[1, 0]"
296995287447261184,@ kourtneykardash get on it !  it is all about home improvement !  you will love it !,"[1, 0]"
296194311576489984,# no. boring or what.so pre planned with written lines its not funny,"[1, 0]"
296456134548676610,"@ ""_ because its cheaper to buy and glasses a full of ice","[1, 0]"
296204450568208385,@ markseesyou its just made me feel really nice,"[1, 0]"
296548224355946496,breaking all the boys hearts  :  /   (  at your terminal  line and your and . )  the text transfer protocol :  / t.co / .,"[1, 0]"
297135907574800384,@ inflightfeed no dramas !  thanks again though.,"[1, 0]"
295470307836301314,be  at your terminal cardinal :  foam from rough waves at your terminal the and resembles snow on the sunshine coast  # sea  # !  money  # flood .,"[1, 0]"
295707178440998912,"@ howlingeverett  at your terminal everworld2662 that should be 'the right place'. sorry ,  i am pre-eminent.","[1, 0]"
297228200730316800,@ when do some actors actually like anal sex ?,"[1, 0]"
297334252511580160,@ anthony_mundine you do know you list do not you,"[1, 0]"
295459962983968768,@ daltoncatering i am appearing here time date with pictures on demand. it is called a society !,"[1, 0]"
296875467062001667,so devastated to hear my good friend and ex colleague person has passed away - thank you all for all the time to try find him. rest in peace person,"[1, 0]"
296737994520551428,@ look_  at your terminal adamsbaldwin love both as well.,"[1, 0]"
296461379366428672,@ the moneyer - its been there and i still do not have power.,"[1, 0]"
296155224215805952,"i am at your terminal for shop  ( gpe ,  gpe )  the text transfer protocol :  / t.co / .","[1, 0]"
297479354538156032,@ and no . no clue at your terminal all !,"[1, 0]"
295352236555501568,we have a visitor !   cardinal hiding  cardinal using cardinalcardinale text transfer protocol :  / t.co / thet,"[1, 0]"
297461092546920448,fuck work and these cardinalam starts date a week,"[1, 0]"
296140389402955777,@ marcepcsolution hey  # data for following   * smile *  give me shout out.,"[1, 0]"
297465926213828609,meeting random people is my favorite thing in the world,"[1, 0]"
295373209002446848,"@ and  at your terminal ronanofficial we are currently getting called by ex t / see what ! no power , no phone ,  rain  and fog ;  wind would blow dog off a chain !","[1, 0]"
296866306110656512,person does not know i exist  : ' (,"[1, 0]"
296850658064224256,planning on running home as soon as i get if and only if the bus to watch  cardinal willandtrenttwitcam  money   cardinal willandtrenttwitcam,"[1, 0]"
295792807686336512,@ tgirishkumar when you are cardinal games from the end and united are close and your best player back passes to gpe you know it is deliberate,"[1, 0]"
296581730612162560,my toe is in so much pain and,"[1, 0]"
295345458312781826,@ stalkingreedus  at your terminal and  at your terminal wwwbigbaldhead if i was in the airport i would pretend i did not know him and then help him with his stuff.  :  ),"[1, 0]"
296569863172919297,go at your terminal now :  many people in gpe get tattoos of language words  and words ;  sentences that mean nothing. way too funny !,"[1, 0]"
296910553664876544,@ ya yayayaayaya !  can we please do a coffee date ?  !,"[1, 0]"
